📺中央数字超高清,#genre#
优优宝贝,http://ds920.dsmynas.net:5555/rtp/226.0.2.119:8864$山西uni2+
#shougong
CCTV1,http://222.95.209.51:8554/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://221.216.137.230:8012/rtp/239.3.1.129:8008$北京uni
CCTV1,http://221.221.146.211:8182/rtp/239.3.1.129:8008$北京uni
CCTV1,http://221.229.228.191:3000/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://218.94.98.14:10001/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://171.212.150.204:19999/rtp/239.93.0.184:5140$四川cmc
CCTV1,http://171.213.130.146:8889/rtp/239.93.0.184:5140$四川cmc
CCTV1,http://171.213.142.163:8123/rtp/239.93.0.184:5140$四川cmc
CCTV1,http://171.213.203.138:8088/rtp/239.93.0.184:5140$四川cmc
CCTV1,http://121.235.15.21:4022/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://118.112.192.231:2016/rtp/239.93.0.184:5140$四川cmc
CCTV1,http://117.85.154.137:8800/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://114.254.95.3:2222/rtp/239.3.1.129:8008$北京uni
CCTV1,http://106.112.255.218:8989/rtp/239.254.200.45:8008$河北cmc
CCTV1,http://106.118.0.178:4022/rtp/239.254.200.45:8008$河北cmc
CCTV1,http://61.157.84.215:6868/rtp/239.93.0.184:5140$四川cmc
CCTV1,http://49.79.200.212:8181/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://49.80.213.244:8088/rtp/239.49.8.19:9614$江苏新cmc
CCTV1,http://27.188.104.125:9009/rtp/239.254.200.45:8008$河北cmc
CCTV2,http://222.95.209.51:8554/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://221.216.137.230:8012/rtp/239.3.1.60:8084$北京uni
CCTV2,http://221.221.146.211:8182/rtp/239.3.1.60:8084$北京uni
CCTV2,http://221.229.228.191:3000/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://218.94.98.14:10001/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://171.212.150.204:19999/rtp/239.93.1.23:6000$四川cmc
CCTV2,http://171.213.130.146:8889/rtp/239.93.1.23:6000$四川cmc
CCTV2,http://171.213.142.163:8123/rtp/239.93.1.23:6000$四川cmc
CCTV2,http://171.213.203.138:8088/rtp/239.93.1.23:6000$四川cmc
CCTV2,http://121.235.15.21:4022/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://118.112.192.231:2016/rtp/239.93.1.23:6000$四川cmc
CCTV2,http://117.85.154.137:8800/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://114.254.95.3:2222/rtp/239.3.1.60:8084$北京uni
CCTV2,http://106.112.255.218:8989/rtp/239.254.200.158:6000$河北cmc
CCTV2,http://106.118.0.178:4022/rtp/239.254.200.158:6000$河北cmc
CCTV2,http://61.157.84.215:6868/rtp/239.93.1.23:6000$四川cmc
CCTV2,http://49.79.200.212:8181/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://49.80.213.244:8088/rtp/239.49.8.50:9802$江苏新cmc
CCTV2,http://27.188.104.125:9009/rtp/239.254.200.158:6000$河北cmc
CCTV3,http://222.95.209.51:8554/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://221.216.137.230:8012/rtp/239.3.1.172:8001$北京uni
CCTV3,http://221.221.146.211:8182/rtp/239.3.1.172:8001$北京uni
CCTV3,http://221.229.228.191:3000/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://218.94.98.14:10001/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://171.212.150.204:19999/rtp/239.93.1.11:2223$四川cmc
CCTV3,http://171.213.130.146:8889/rtp/239.93.1.11:2223$四川cmc
CCTV3,http://171.213.142.163:8123/rtp/239.93.1.11:2223$四川cmc
CCTV3,http://171.213.203.138:8088/rtp/239.93.1.11:2223$四川cmc
CCTV3,http://121.235.15.21:4022/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://118.112.192.231:2016/rtp/239.93.1.11:2223$四川cmc
CCTV3,http://117.85.154.137:8800/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://114.254.95.3:2222/rtp/239.3.1.172:8001$北京uni
CCTV3,http://106.112.255.218:8989/rtp/239.254.201.152:7205$河北cmc
CCTV3,http://106.118.0.178:4022/rtp/239.254.201.152:7205$河北cmc
CCTV3,http://61.157.84.215:6868/rtp/239.93.1.11:2223$四川cmc
CCTV3,http://49.79.200.212:8181/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://49.80.213.244:8088/rtp/239.49.8.74:8000$江苏新cmc
CCTV3,http://27.188.104.125:9009/rtp/239.254.201.152:7205$河北cmc
CCTV4,http://222.95.209.51:8554/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://221.216.137.230:8012/rtp/239.3.1.105:8092$北京uni
CCTV4,http://221.221.146.211:8182/rtp/239.3.1.105:8092$北京uni
CCTV4,http://221.229.228.191:3000/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://218.94.98.14:10001/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://171.212.150.204:19999/rtp/239.93.1.105:5140$四川cmc
CCTV4,http://171.213.130.146:8889/rtp/239.93.1.105:5140$四川cmc
CCTV4,http://171.213.142.163:8123/rtp/239.93.1.105:5140$四川cmc
CCTV4,http://171.213.203.138:8088/rtp/239.93.1.105:5140$四川cmc
CCTV4,http://121.235.15.21:4022/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://118.112.192.231:2016/rtp/239.93.1.105:5140$四川cmc
CCTV4,http://117.85.154.137:8800/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://114.254.95.3:2222/rtp/239.3.1.105:8092$北京uni
CCTV4,http://106.112.255.218:8989/rtp/239.254.200.190:6307$河北cmc
CCTV4,http://106.118.0.178:4022/rtp/239.254.200.190:6307$河北cmc
CCTV4,http://61.157.84.215:6868/rtp/239.93.1.105:5140$四川cmc
CCTV4,http://49.79.200.212:8181/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://49.80.213.244:8088/rtp/239.49.8.51:9806$江苏新cmc
CCTV4,http://27.188.104.125:9009/rtp/239.254.200.190:6307$河北cmc
CCTV5+,http://222.95.209.51:8554/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://222.95.209.51:8554/rtp/239.49.8.75:8000$江苏新cmc
CCTV5+,http://221.216.137.230:8012/rtp/239.3.1.130:8004$北京uni
CCTV5+,http://221.221.146.211:8182/rtp/239.3.1.130:8004$北京uni
CCTV5+,http://221.229.228.191:3000/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://221.216.137.230:8012/rtp/239.3.1.173:8001$北京uni
CCTV5,http://221.221.146.211:8182/rtp/239.3.1.173:8001$北京uni
CCTV5,http://221.229.228.191:3000/rtp/239.49.8.75:8000$江苏新cmc
CCTV5+,http://218.94.98.14:10001/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://218.94.98.14:10001/rtp/239.49.8.75:8000$江苏新cmc
CCTV5,http://171.212.150.204:19999/rtp/239.93.1.36:8004$四川cmc
CCTV5,http://171.213.130.146:8889/rtp/239.93.1.36:8004$四川cmc
CCTV5,http://171.213.142.163:8123/rtp/239.93.1.36:8004$四川cmc
CCTV5,http://171.213.203.138:8088/rtp/239.93.1.36:8004$四川cmc
CCTV5+,http://121.235.15.21:4022/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://121.235.15.21:4022/rtp/239.49.8.75:8000$江苏新cmc
CCTV5,http://118.112.192.231:2016/rtp/239.93.1.36:8004$四川cmc
CCTV5+,http://117.85.154.137:8800/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://117.85.154.137:8800/rtp/239.49.8.75:8000$江苏新cmc
CCTV5+,http://114.254.95.3:2222/rtp/239.3.1.130:8004$北京uni
CCTV5,http://114.254.95.3:2222/rtp/239.3.1.173:8001$北京uni
CCTV5+,http://106.112.255.218:8989/rtp/239.254.200.46:8004$河北cmc
CCTV5+,http://106.118.0.178:4022/rtp/239.254.200.46:8004$河北cmc
CCTV5,http://106.112.255.218:8989/rtp/239.254.201.153:7206$河北cmc
CCTV5,http://106.118.0.178:4022/rtp/239.254.201.153:7206$河北cmc
CCTV5,http://61.157.84.215:6868/rtp/239.93.1.36:8004$四川cmc
CCTV5+,http://49.79.200.212:8181/rtp/239.49.8.18:9610$江苏新cmc
CCTV5+,http://49.80.213.244:8088/rtp/239.49.8.18:9610$江苏新cmc
CCTV5,http://49.79.200.212:8181/rtp/239.49.8.75:8000$江苏新cmc
CCTV5,http://49.80.213.244:8088/rtp/239.49.8.75:8000$江苏新cmc
CCTV5+,http://27.188.104.125:9009/rtp/239.254.200.46:8004$河北cmc
CCTV5,http://27.188.104.125:9009/rtp/239.254.201.153:7206$河北cmc
CCTV6,http://222.95.209.51:8554/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://221.216.137.230:8012/rtp/239.3.1.174:8001$北京uni
CCTV6,http://221.221.146.211:8182/rtp/239.3.1.174:8001$北京uni
CCTV6,http://221.229.228.191:3000/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://218.94.98.14:10001/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://171.212.150.204:19999/rtp/239.93.1.13:2226$四川cmc
CCTV6,http://171.213.130.146:8889/rtp/239.93.1.13:2226$四川cmc
CCTV6,http://171.213.142.163:8123/rtp/239.93.1.13:2226$四川cmc
CCTV6,http://171.213.203.138:8088/rtp/239.93.1.13:2226$四川cmc
CCTV6,http://121.235.15.21:4022/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://118.112.192.231:2016/rtp/239.93.1.13:2226$四川cmc
CCTV6,http://117.85.154.137:8800/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://114.254.95.3:2222/rtp/239.3.1.174:8001$北京uni
CCTV6,http://106.112.255.218:8989/rtp/239.254.201.154:7207$河北cmc
CCTV6,http://106.118.0.178:4022/rtp/239.254.201.154:7207$河北cmc
CCTV6,http://61.157.84.215:6868/rtp/239.93.1.13:2226$四川cmc
CCTV6,http://49.79.200.212:8181/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://49.80.213.244:8088/rtp/239.49.8.76:8000$江苏新cmc
CCTV6,http://27.188.104.125:9009/rtp/239.254.201.154:7207$河北cmc
CCTV7,http://222.95.209.51:8554/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://221.216.137.230:8012/rtp/239.3.1.61:8104$北京uni
CCTV7,http://221.221.146.211:8182/rtp/239.3.1.61:8104$北京uni
CCTV7,http://221.229.228.191:3000/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://218.94.98.14:10001/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://171.212.150.204:19999/rtp/239.93.1.67:5140$四川cmc
CCTV7,http://171.213.130.146:8889/rtp/239.93.1.67:5140$四川cmc
CCTV7,http://171.213.142.163:8123/rtp/239.93.1.67:5140$四川cmc
CCTV7,http://171.213.203.138:8088/rtp/239.93.1.67:5140$四川cmc
CCTV7,http://121.235.15.21:4022/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://118.112.192.231:2016/rtp/239.93.1.67:5140$四川cmc
CCTV7,http://117.85.154.137:8800/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://114.254.95.3:2222/rtp/239.3.1.61:8104$北京uni
CCTV7,http://106.112.255.218:8989/rtp/239.254.200.159:6000$河北cmc
CCTV7,http://106.118.0.178:4022/rtp/239.254.200.159:6000$河北cmc
CCTV7,http://61.157.84.215:6868/rtp/239.93.1.67:5140$四川cmc
CCTV7,http://49.79.200.212:8181/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://49.80.213.244:8088/rtp/239.49.0.126:8000$江苏新cmc
CCTV7,http://27.188.104.125:9009/rtp/239.254.200.159:6000$河北cmc
CCTV8,http://222.95.209.51:8554/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://221.216.137.230:8012/rtp/239.3.1.175:8001$北京uni
CCTV8,http://221.221.146.211:8182/rtp/239.3.1.175:8001$北京uni
CCTV8,http://221.229.228.191:3000/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://218.94.98.14:10001/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://171.212.150.204:19999/rtp/239.93.42.39:5140$四川cmc
CCTV8,http://171.213.130.146:8889/rtp/239.93.42.39:5140$四川cmc
CCTV8,http://171.213.142.163:8123/rtp/239.93.42.39:5140$四川cmc
CCTV8,http://171.213.203.138:8088/rtp/239.93.42.39:5140$四川cmc
CCTV8,http://121.235.15.21:4022/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://118.112.192.231:2016/rtp/239.93.42.39:5140$四川cmc
CCTV8,http://117.85.154.137:8800/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://114.254.95.3:2222/rtp/239.3.1.175:8001$北京uni
CCTV8,http://106.112.255.218:8989/rtp/239.254.201.155:7208$河北cmc
CCTV8,http://106.118.0.178:4022/rtp/239.254.201.155:7208$河北cmc
CCTV8,http://61.157.84.215:6868/rtp/239.93.42.39:5140$四川cmc
CCTV8,http://49.79.200.212:8181/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://49.80.213.244:8088/rtp/239.49.8.77:8000$江苏新cmc
CCTV8,http://27.188.104.125:9009/rtp/239.254.201.155:7208$河北cmc
CCTV9,http://222.95.209.51:8554/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://221.216.137.230:8012/rtp/239.3.1.62:8112$北京uni
CCTV9,http://221.221.146.211:8182/rtp/239.3.1.62:8112$北京uni
CCTV9,http://221.229.228.191:3000/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://218.94.98.14:10001/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://171.212.150.204:19999/rtp/239.93.1.24:5140$四川cmc
CCTV9,http://171.213.130.146:8889/rtp/239.93.1.24:5140$四川cmc
CCTV9,http://171.213.142.163:8123/rtp/239.93.1.24:5140$四川cmc
CCTV9,http://171.213.203.138:8088/rtp/239.93.1.24:5140$四川cmc
CCTV9,http://121.235.15.21:4022/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://118.112.192.231:2016/rtp/239.93.1.24:5140$四川cmc
CCTV9,http://117.85.154.137:8800/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://114.254.95.3:2222/rtp/239.3.1.62:8112$北京uni
CCTV9,http://106.112.255.218:8989/rtp/239.254.200.59:8112$河北cmc
CCTV9,http://106.118.0.178:4022/rtp/239.254.200.59:8112$河北cmc
CCTV9,http://61.157.84.215:6868/rtp/239.93.1.24:5140$四川cmc
CCTV9,http://49.79.200.212:8181/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://49.80.213.244:8088/rtp/239.49.8.53:9814$江苏新cmc
CCTV9,http://27.188.104.125:9009/rtp/239.254.200.59:8112$河北cmc
CCTV10,http://222.95.209.51:8554/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://221.216.137.230:8012/rtp/239.3.1.63:8116$北京uni
CCTV10,http://221.221.146.211:8182/rtp/239.3.1.63:8116$北京uni
CCTV10,http://221.229.228.191:3000/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://218.94.98.14:10001/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://171.212.150.204:19999/rtp/239.93.1.28:5140$四川cmc
CCTV10,http://171.213.130.146:8889/rtp/239.93.1.28:5140$四川cmc
CCTV10,http://171.213.142.163:8123/rtp/239.93.1.28:5140$四川cmc
CCTV10,http://171.213.203.138:8088/rtp/239.93.1.28:5140$四川cmc
CCTV10,http://121.235.15.21:4022/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://118.112.192.231:2016/rtp/239.93.1.28:5140$四川cmc
CCTV10,http://117.85.154.137:8800/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://114.254.95.3:2222/rtp/239.3.1.63:8116$北京uni
CCTV10,http://106.112.255.218:8989/rtp/239.254.200.160:6000$河北cmc
CCTV10,http://106.118.0.178:4022/rtp/239.254.200.160:6000$河北cmc
CCTV10,http://61.157.84.215:6868/rtp/239.93.1.28:5140$四川cmc
CCTV10,http://49.79.200.212:8181/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://49.80.213.244:8088/rtp/239.49.8.54:9818$江苏新cmc
CCTV10,http://27.188.104.125:9009/rtp/239.254.200.160:6000$河北cmc
CCTV11,http://222.95.209.51:8554/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://221.216.137.230:8012/rtp/239.3.1.152:8120$北京uni
CCTV11,http://221.221.146.211:8182/rtp/239.3.1.152:8120$北京uni
CCTV11,http://221.229.228.191:3000/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://218.94.98.14:10001/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://171.212.150.204:19999/rtp/239.93.0.102:5140$四川cmc
CCTV11,http://171.213.130.146:8889/rtp/239.93.0.102:5140$四川cmc
CCTV11,http://171.213.142.163:8123/rtp/239.93.0.102:5140$四川cmc
CCTV11,http://171.213.203.138:8088/rtp/239.93.0.102:5140$四川cmc
CCTV11,http://121.235.15.21:4022/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://118.112.192.231:2016/rtp/239.93.0.102:5140$四川cmc
CCTV11,http://117.85.154.137:8800/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://114.254.95.3:2222/rtp/239.3.1.152:8120$北京uni
CCTV11,http://106.112.255.218:8989/rtp/239.254.201.123:8120$河北cmc
CCTV11,http://106.118.0.178:4022/rtp/239.254.201.123:8120$河北cmc
CCTV11,http://61.157.84.215:6868/rtp/239.93.0.102:5140$四川cmc
CCTV11,http://49.79.200.212:8181/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://49.80.213.244:8088/rtp/239.49.0.127:8000$江苏新cmc
CCTV11,http://27.188.104.125:9009/rtp/239.254.201.123:8120$河北cmc
CCTV12,http://222.95.209.51:8554/rtp/239.49.8.55:9822$江苏新cmc
CCTV12,http://221.216.137.230:8012/rtp/239.3.1.64:8124$北京uni
CCTV12,http://221.221.146.211:8182/rtp/239.3.1.64:8124$北京uni
CCTV12,http://221.229.228.191:3000/rtp/239.49.8.55:9822$江苏新cmc
CCTV12,http://218.94.98.14:10001/rtp/239.49.8.55:9822$江苏新cmc
CCTV12,http://171.212.150.204:19999/rtp/239.93.1.30:8124$四川cmc
CCTV12,http://171.213.130.146:8889/rtp/239.93.1.30:8124$四川cmc
CCTV12,http://171.213.142.163:8123/rtp/239.93.1.30:8124$四川cmc
CCTV12,http://171.213.203.138:8088/rtp/239.93.1.30:8124$四川cmc
CCTV12,http://121.235.15.21:4022/rtp/239.49.8.55:9822$江苏新cmc
CCTV12,http://118.112.192.231:2016/rtp/239.93.1.30:8124$四川cmc
CCTV12,http://117.85.154.137:8800/rtp/239.49.8.55:9822$江苏新cmc
CCTV12,http://114.254.95.3:2222/rtp/239.3.1.64:8124$北京uni
CCTV12,http://106.112.255.218:8989/rtp/239.254.200.161:6000$河北cmc
CCTV12,http://106.118.0.178:4022/rtp/239.254.200.161:6000$河北cmc
